    No;           Material;      Hash;   MM_gmol;   Tr_K;         pr_MPa;     Tc_K;       pc_MPa;   Dc_kgm3; acentric;    k0_cp0_JmolK; k1_cp0_JmolK; epsilon_kB_K; sigma_nm; dipom_D; gamma_uni;           xi0;     Gamma;         qDinv;      Tref;                                          FullName
   41;                 DEE;  46a701e0;   74.1216;   156.920;   5.55500e-07;   466.700;   3.72020;  263.9989;  0.290000;     120.59873;     108.93822;  370.6000;   0.53000;    1.1510;    1.2390;    1.9600e-10;    0.0660;    6.4500e-10;   700.050;                                     Diethyl ether
   42;                 DMC;  859e6f80;   90.0779;   277.060;   2.22650e-03;   557.000;   4.90880;  360.3116;  0.346000;     106.81452;     118.94496;  442.3090;   0.51075;    0.8990;    1.2390;    2.0400e-10;    0.0590;    6.2000e-10;   835.500;                      Dimethyl ester carbonic acid
   43;                 DME;  8f27e300;   46.0684;   131.660;   2.21000e-06;   400.378;   5.33685;  273.6465;  0.196000;      65.82904;      54.49121;  317.9370;   0.43070;    1.3010;    1.2390;    1.8900e-10;    0.0570;    5.4000e-10;   600.570;                                    Methoxymethane
   44;            EBENZENE;  a4c64370;  106.1650;   178.200;   4.00200e-09;   617.120;   3.62240;  291.0000;  0.305000;     127.52583;     225.40788;  490.0500;   0.57810;    0.6000;    1.2390;    2.3500e-10;    0.0560;    7.0600e-10;   925.700;                                      Phenylethane
   45;             EGLYCOL;  7d1768e0;   62.0678;   260.600;   2.36600e-07;   719.000;   8.20870;  364.9589;  0.619000;      79.86456;     157.50495;  570.9500;   0.44820;    2.4100;    1.2390;    1.6600e-10;    0.0730;    5.4200e-10;  1078.500;                                     1,2-Ethandiol
   46;              ETHANE;  434e2a40;   30.0690;    90.368;   1.14200e-06;   305.322;   4.87220;  206.1800;  0.099500;      52.47417;      35.87325;  245.0000;   0.43682;    0.0000;    1.2420;    1.9000e-10;    0.0563;    5.4500e-10;   610.660;                                            Ethane
   47;             ETHANOL;  3d5f67e0;   46.0684;   159.000;   7.18400e-10;   514.710;   6.26800;  273.1858;  0.646000;      65.20421;      78.59782;  362.6000;   0.45300;    1.6909;    1.2390;    1.6430e-10;    0.0588;    5.3000e-10;   772.060;                                     Ethyl alcohol
   48;            ETHYLENE;  9c1062b0;   28.0538;   103.986;   1.21960e-04;   282.350;   5.04180;  214.2466;  0.086600;      42.85328;      24.91062;  224.7000;   0.41630;    0.0000;    1.2390;    1.8100e-10;    0.0580;    4.9000e-10;   423.530;                                            Ethene
   49;       ETHYLENEOXIDE;  557b13f0;   44.0526;   160.654;   8.26000e-06;   468.920;   3.70470;  315.8569;  0.210000;      47.92283;      65.81531;  372.3700;   0.42000;    1.8900;    1.2390;    1.7600e-10;    0.0280;    5.0600e-10;   703.380;                                    Ethylene oxide
   50;            FLUORINE;  cdc99fe0;   37.9968;    53.481;   2.38810e-04;   144.414;   5.17240;  592.8642;  0.044900;      31.30130;       1.71027;  112.6000;   0.33570;    0.0000;    1.2390;    1.4500e-10;    0.0560;    3.8500e-10;   216.621;                                          Fluorine
   51;                 H2S;  c6c03020;   34.0809;   187.700;   2.32500e-02;   373.100;   9.00000;  347.2842;  0.100500;      34.10846;       4.75578;  296.2800;   0.37320;    0.9700;    1.2390;    1.6400e-10;    0.0580;    4.4700e-10;   559.650;                                  Hydrogen sulfide
   52;                 HCL;  74b17450;   36.4609;   159.070;   1.38284e-02;   324.680;   8.31350;  432.7914;  0.129000;      29.12818;       0.02928;  257.8000;   0.35500;    1.0790;    1.2390;    1.5400e-10;    0.0540;    4.2400e-10;   487.000;                                 Hydrogen chloride
   53;              HELIUM;  3b8eed30;    4.0026;     2.177;   5.03930e-03;     5.195;   0.22832;   69.5800; -0.383600;      20.78615;       0.33438;   10.2200;   0.25510;    0.0000;    1.2390;    1.5000e-10;    0.0000;    0.0000e+00;     0.000;                                          Helium-4
   54;             HEPTANE;  b398a3b0;  100.2020;   182.550;   1.74260e-07;   540.200;   2.73573;  233.4707;  0.349000;     165.23823;     228.93172;  400.0000;   0.64947;    0.0700;    1.2390;    2.4500e-10;    0.0586;    8.0000e-10;   810.200;                                           Heptane
   55;              HEXANE;  cb03ba40;   86.1754;   177.830;   1.18900e-06;   507.820;   3.04410;  233.1905;  0.300000;     142.75524;     193.81116;  399.3000;   0.59490;    0.0700;    1.2390;    2.3640e-10;    0.0580;    7.3700e-10;   761.730;                                            Hexane
   56;            HYDROGEN;  8d757b40;    2.0159;    13.957;   7.35780e-03;    33.145;   1.29640;   31.2623; -0.219000;      28.83408;       0.90422;   59.7000;   0.28270;    0.0000;    1.2415;    1.5000e-10;    0.0520;    4.0000e-10;    49.718;                                 Hydrogen (normal)
   57;             IBUTENE;  d287e4b0;   56.1063;   132.400;   6.76100e-07;   418.090;   4.00980;  233.9634;  0.193000;      88.86268;      92.11788;  425.0000;   0.47760;    0.5000;    1.2390;    2.1200e-10;    0.0580;    6.1100e-10;   627.140;                                2-Methyl-1-propene
   58;             IHEXANE;  faa2db70;   86.1754;   119.600;   7.67300e-12;   497.700;   3.04000;  233.9661;  0.279700;     142.25960;     194.66312;  395.2000;   0.58000;    0.0000;    1.2390;    2.3800e-10;    0.0590;    7.0800e-10;   746.600;                                   2-Methylpentane
