 num;                                                              Material;     source;       CAS ID;  MM_gmol;     Tc/K;      Pc/MPa;  Dc/kgm3;  Acentric; k0_cp0_JmolK; k1_cp0_JmolK; epsilon_kB_K; sigma_nm
 121;                                                       2-methylheptane;    ChemSep;     592-27-8; 114.2285;  559.600;    2.480000;  233.979;  0.378000;      0.00000;      0.00000;      0.00000;  0.00000
 122;                                                        2-methylhexane;    ChemSep;     591-76-4; 100.2020;  530.100;    2.730000;  238.010;  0.331000;      0.00000;      0.00000;      0.00000;  0.00000
 123;                                                        2-methylindene;    ChemSep;    2177-47-1; 130.1864;  711.000;    3.460000;  298.593;  0.350814;      0.00000;      0.00000;      0.00000;  0.00000
 124;                                                   2-methylnaphthalene;    ChemSep;      91-57-6; 142.1971;  761.000;    3.540000;  307.786;  0.374000;      0.00000;      0.00000;      0.00000;  0.00000
 125;                                                        2-methylnonane;    ChemSep;     871-83-0; 142.2817;  621.000;    2.050000;  236.742;  0.472342;      0.00000;      0.00000;      0.00000;  0.00000
 126;                                                        2-methyloctane;    ChemSep;    3221-61-2; 128.2551;  587.000;    2.310000;  242.448;  0.423000;      0.00000;      0.00000;      0.00000;  0.00000
 127;                                                      2-methylpropanal;    ChemSep;      78-84-2;  72.1057;  507.000;    4.100000;  274.166;  0.362180;      0.00000;      0.00000;      0.00000;  0.00000
 128;                                                        2-nitropropane;    ChemSep;      79-46-9;  89.0932;  595.000;    4.450000;  309.351;  0.383568;      0.00000;      0.00000;      0.00000;  0.00000
 129;                                                            2-pentanol;    ChemSep;    6032-29-7;  88.1482;  552.000;    3.880000;  269.566;  0.674371;      0.00000;      0.00000;      0.00000;  0.00000
 130;                                                           2-pentanone;    ChemSep;     107-87-9;  86.1323;  561.100;    3.690000;  286.154;  0.346000;      0.00000;      0.00000;      0.00000;  0.00000
 132;                                                3,3,5-trimethylheptane;    ChemSep;    7154-80-5; 142.2817;  609.600;    2.320000;  252.273;  0.383000;      0.00000;      0.00000;      0.00000;  0.00000
 133;                                                    3,3-diethylpentane;    ChemSep;    1067-20-5; 128.2551;  610.050;    2.674980;  271.152;  0.337900;      0.00000;      0.00000;      0.00000;  0.00000
 134;                                               3,3-dimethyl-2-butanone;    ChemSep;      75-97-8; 100.1589;  567.000;    3.470000;  272.171;  0.327309;      0.00000;      0.00000;      0.00000;  0.00000
 135;                                                    3,3-dimethylhexane;    ChemSep;     563-16-6; 114.2285;  562.000;    2.650000;  257.969;  0.320000;      0.00000;      0.00000;      0.00000;  0.00000
 136;                                                   3,3-dimethylpentane;    ChemSep;     562-49-2; 100.2020;  536.300;    2.950000;  241.975;  0.269000;      0.00000;      0.00000;      0.00000;  0.00000
 137;                                                    3,4-dimethylhexane;    ChemSep;     583-48-2; 114.2285;  568.800;    2.690000;  248.972;  0.338000;      0.00000;      0.00000;      0.00000;  0.00000
 138;                                                    3,4-dinitrotoluene;    ChemSep;     610-39-9; 182.1335;  842.000;    3.400000;  373.991;  0.709209;      0.00000;      0.00000;      0.00000;  0.00000
 139;                                                           3,4-xylenol;    ChemSep;      95-65-8; 122.1640;  729.850;    4.964930;  265.574;  0.576317;      0.00000;      0.00000;      0.00000;  0.00000
 140;                                                    3,5-dinitrotoluene;    ChemSep;     618-85-9; 182.1335;  800.000;    2.150000;  373.991;  0.702302;      0.00000;      0.00000;      0.00000;  0.00000
 141;                                                           3,5-xylenol;    ChemSep;     108-68-9; 122.1640;  715.550;    3.600000;  200.269;  0.485210;      0.00000;      0.00000;      0.00000;  0.00000
 142;                                        3,7-Dimethyl-1,6-octadien-3-ol;       User;      78-70-6; 154.2500;  697.840;    2.581962;  270.614;  0.770000;      0.00000;      0.00000;      0.00000;  0.00000
 144;                                                            3-Pentanol;       USER;     584-02-1;  88.1500;  559.561;    3.916000;  271.000;  0.577000;      0.00000;      0.00000;      0.00000;  0.00000
 145;                                                        3-ethylheptane;    ChemSep;   15869-80-4; 128.2551;  594.300;    2.430000;  246.029;  0.407991;      0.00000;      0.00000;      0.00000;  0.00000
 146;                                                         3-ethylhexane;    ChemSep;     619-99-8; 114.2285;  565.400;    2.610000;  248.053;  0.362000;      0.00000;      0.00000;      0.00000;  0.00000
 147;                                                        3-ethylpentane;    ChemSep;     617-78-7; 100.2020;  540.500;    2.890000;  240.986;  0.311000;      0.00000;      0.00000;      0.00000;  0.00000
 148;                                                           3-heptanone;    ChemSep;     106-35-4; 114.1855;  605.000;    3.010000;  271.224;  0.407565;      0.00000;      0.00000;      0.00000;  0.00000
 149;                                                            3-hexanone;    ChemSep;     589-38-8; 100.1589;  582.800;    3.320000;  264.971;  0.380000;      0.00000;      0.00000;      0.00000;  0.00000
 150;                                                     3-methyl-1-butene;    ChemSep;     563-45-1;  70.1329;  452.700;    3.550000;  230.019;  0.211000;      0.00000;      0.00000;      0.00000;  0.00000
 151;                                               3-methyl-3-ethylpentane;    ChemSep;    1067-08-9; 114.2285;  576.500;    2.810000;  250.996;  0.305000;      0.00000;      0.00000;      0.00000;  0.00000
 152;                                                       3-methylheptane;    ChemSep;     589-81-1; 114.2285;  563.600;    2.550000;  242.472;  0.371000;      0.00000;      0.00000;      0.00000;  0.00000
 153;                                                        3-methylhexane;    ChemSep;     589-34-4; 100.2020;  535.200;    2.810000;  248.025;  0.323000;      0.00000;      0.00000;      0.00000;  0.00000
 154;                                                        3-methylnonane;    ChemSep;    5911-04-6; 142.2817;  613.700;    2.140000;  240.992;  0.464925;      0.00000;      0.00000;      0.00000;  0.00000
 155;                                                        3-methyloctane;    ChemSep;    2216-33-3; 128.2551;  590.150;    2.340000;  242.448;  0.412346;      0.00000;      0.00000;      0.00000;  0.00000
 156;                                                           3-pentanone;    ChemSep;      96-22-0;  86.1323;  561.500;    3.730000;  256.346;  0.342000;      0.00000;      0.00000;      0.00000;  0.00000
 157;                                                   3-phenyl-1-propanol;    ChemSep;     122-97-4; 136.1910;  694.000;    3.430000;  309.525;  0.803271;      0.00000;      0.00000;      0.00000;  0.00000
 158;                                                         4-cumylphenol;    ChemSep;     599-64-4; 212.2870;  834.000;    2.680000;  322.135;  0.688847;      0.00000;      0.00000;      0.00000;  0.00000
 159;                                                      4-ethyl-m-xylene;    ChemSep;     874-41-9; 134.2182;  665.000;    2.850000;  294.338;  0.409000;      0.00000;      0.00000;      0.00000;  0.00000
 160;                                                      4-ethyl-o-xylene;    ChemSep;     934-80-5; 134.2182;  666.000;    2.890000;  296.943;  0.420000;      0.00000;      0.00000;      0.00000;  0.00000
 161;                                                           4-heptanone;    ChemSep;     123-19-3; 114.1855;  595.000;    2.920000;  271.224;  0.471409;      0.00000;      0.00000;      0.00000;  0.00000
 162;                                                4-methyl-cis-2-pentene;    ChemSep;     691-38-3;  84.1595;  499.000;    3.220000;  243.236;  0.244178;      0.00000;      0.00000;      0.00000;  0.00000
